date,close
2013-04-04,48.13
2013-04-05,47.69
2013-04-08,47.54
2013-04-09,47.48
2013-04-10,46.96
2013-04-11,45.73
2013-04-12,45.63
2013-04-15,45.59
2013-04-16,43.43
2013-04-17,43.43
2013-04-18,42.63
2013-04-19,43.46
2013-04-22,43.65
2013-04-23,43.95
2013-04-24,44.52
2013-04-25,44.22
2013-04-26,44.68
2013-04-29,44.61
2013-04-30,44.91
2013-05-02,44.42
2013-05-03,44.55
2013-05-06,46.1
2013-05-07,47.2
2013-05-08,48.7
2013-05-10,48.6
2013-05-13,48.74
2013-05-14,48.87
2013-05-15,50.26
2013-05-16,50.27
2013-05-17,49.3
2013-05-20,48.72
2013-05-21,51.4
2013-05-22,53.75
2013-05-23,53.85
2013-05-24,53.32
2013-05-27,53.29
2013-05-28,53.93
2013-05-29,53.68
2013-05-30,53.46
2013-05-31,53.73
2013-06-03,52.85
2013-06-04,52.33
2013-06-05,52.58
2013-06-06,53.19
2013-06-07,53.56
2013-06-10,53.6
2013-06-11,52.59
2013-06-13,52.11
2013-06-14,51.14
2013-06-17,52.56
2013-06-18,52.79
2013-06-19,51.98
2013-06-20,51.31
2013-06-21,50.22
2013-06-24,50.71
2013-06-25,51.65
2013-06-26,52.17
2013-06-27,52.61
2013-06-28,52.98
2013-07-01,53.8
2013-07-02,53.82
2013-07-03,53.41
2013-07-04,53.58
2013-07-05,53.6
2013-07-08,53.77
2013-07-09,53.7
2013-07-10,53.04
2013-07-11,53.9
2013-07-12,53.91
2013-07-15,53.98
2013-07-16,53.98
2013-07-17,53.94
2013-07-18,53.9
2013-07-19,53.78
2013-07-22,53.79
2013-07-23,54.19
2013-07-24,54.24
2013-07-25,54.25
2013-07-26,54.19
2013-07-29,55.06
2013-07-30,56.04
2013-07-31,56.23
2013-08-01,59.25
2013-08-02,59.09
2013-08-05,59.07
2013-08-06,55.99
2013-08-07,56.05
2013-08-08,55.93
2013-08-09,56.1
2013-08-12,56.07
2013-08-13,56.78
2013-08-14,57.18
2013-08-15,56.11
2013-08-16,56.19
2013-08-19,56.31
2013-08-20,56.07
2013-08-21,56.21
2013-08-22,56.98
2013-08-23,57.01
2013-08-26,57.28
2013-08-27,58.28
2013-08-28,59.24
2013-08-29,60.6
2013-08-30,60.96
2013-09-02,61.05
2013-09-03,61.65
2013-09-04,61.91
2013-09-05,62.84
2013-09-06,64.87
2013-09-09,64.91
2013-09-10,65.85
2013-09-11,65.59
2013-09-12,65.45
2013-09-13,64.82
2013-09-16,66.99
2013-09-17,66.26
2013-09-18,65.7
2013-09-19,65.55
2013-09-20,63.25
2013-09-23,62.41
2013-09-24,63.2
2013-09-25,60.35
2013-09-26,60.26
2013-09-27,60.64
2013-09-30,62.05
2013-10-01,64.77
2013-10-02,64.85
2013-10-03,65.31
2013-10-04,65.86
2013-10-07,64.9
2013-10-08,65.97
2013-10-09,66.8
2013-10-10,67.2
2013-10-11,67.5
2013-10-14,67.74
2013-10-15,68.27
2013-10-16,68.07
2013-10-17,67.75
2013-10-18,68.1
2013-10-21,68
2013-10-22,67.98
2013-10-23,66.99
2013-10-24,65.89
2013-10-25,66
2013-10-28,65
2013-10-29,63.65
2013-10-30,62.9
2013-10-31,61.23
2013-11-01,61.4
2013-11-05,60.9
2013-11-06,61.01
2013-11-07,60.98
2013-11-08,61.45
2013-11-11,62.49
2013-11-12,64.8
2013-11-13,64.51
2013-11-14,64.77
2013-11-15,64.92
2013-11-18,65.02
2013-11-19,65.39
2013-11-20,65.35
2013-11-21,65.55
2013-11-22,67.15
2013-11-25,67.5
2013-11-26,67.45
2013-11-27,67.4
2013-11-28,66.54
2013-11-29,67
2013-12-02,66.57
2013-12-03,65.5
2013-12-04,65.15
2013-12-05,62
2013-12-06,63.3
2013-12-09,63.03
2013-12-10,63.77
2013-12-11,63.71
2013-12-12,63.18
2013-12-13,63.8
2013-12-16,63.88
2013-12-17,63.59
2013-12-18,63.52
2013-12-19,62.11
2013-12-20,63.09
2013-12-23,65.01
2013-12-24,64.39
2013-12-25,64
2013-12-26,63.02
2013-12-27,64.26
2013-12-30,65
2014-01-06,62.92
2014-01-08,65
2014-01-09,65.07
2014-01-10,65.39
2014-01-13,65.2
2014-01-14,64.81
2014-01-15,65
2014-01-16,64.8
2014-01-17,64.26
2014-01-20,63.66
2014-01-21,64.33
2014-01-22,63.6
2014-01-23,63.61
2014-01-24,62.45
2014-01-27,61.76
2014-01-28,62.96
2014-01-29,63.3
2014-01-30,61.08
2014-01-31,61.43
2014-02-03,61.18
2014-02-04,60.51
2014-02-05,62.41
2014-02-06,64.7
2014-02-07,63.5
2014-02-10,63
2014-02-11,63.68
2014-02-12,62.55
2014-02-13,64.05
2014-02-14,65
2014-02-17,65.3
2014-02-18,65.3
2014-02-19,65.27
2014-02-20,64.17
2014-02-21,65.23
2014-02-24,65.07
2014-02-25,65.15
2014-02-26,64.1
2014-02-27,64
2014-02-28,64
2014-03-03,56.61
2014-03-04,56.75
2014-03-05,59.11
2014-03-06,57.67
2014-03-07,57
2014-03-11,54.75
2014-03-12,53.75
2014-03-13,49.1
2014-03-14,48.84
2014-03-17,50.6
2014-03-18,56.62
2014-03-19,55.86
2014-03-20,56.03
2014-03-21,55.53
2014-03-24,56.7
2014-03-25,58.07
2014-03-26,59.25
2014-03-27,57.55
2014-03-28,58.23
2014-03-31,57.9
2014-04-01,57.76
2014-04-02,59.5
2014-04-03,59.44
2014-04-04,58.6
2014-04-07,56.25
2014-04-08,57.22
2014-04-09,58.19
2014-04-10,62
2014-04-11,61.67
2014-04-14,58.7
2014-04-15,55.81
2014-04-16,56.1
2014-04-17,55.93
2014-04-18,57
2014-04-21,56
2014-04-22,55.6
2014-04-23,55.65
2014-04-24,55.2
2014-04-25,53.9
2014-04-28,53.9
2014-04-29,53.66
2014-04-30,52.79
2014-05-02,53.59
2014-05-05,52.91
2014-05-06,54.31
2014-05-07,55.6
2014-05-08,58.03
2014-05-12,58.17
2014-05-13,59.49
2014-05-14,59.29
2014-05-15,58
2014-05-16,58.21
2014-05-19,59.49
2014-05-20,59.75
2014-05-21,60.49
2014-05-22,60.5
2014-05-23,62
2014-05-26,62.54
2014-05-27,61
2014-05-28,61.75
2014-05-29,63.64
2014-05-30,65.75
2014-06-02,65.45
2014-06-03,63.2
2014-06-04,64.01
2014-06-05,65.3
2014-06-06,65.34
2014-06-09,65.66
2014-06-10,63.88
2014-06-11,65.65
2014-06-16,65.65
2014-06-17,66.3
2014-06-18,66.96
2014-06-19,67.5
2014-06-20,68.31
2014-06-23,69.8
2014-06-24,68.36
2014-06-25,66.18
2014-06-26,65.97
2014-06-27,66.17
2014-06-30,67.45
2014-07-01,65.05
2014-07-02,65.75
2014-07-03,65.6
2014-07-04,64.54
2014-07-07,65.92
2014-07-08,65
2014-07-09,65.25
2014-07-10,62.27
2014-07-11,62.12
2014-07-14,61.71
2014-07-15,61.64
2014-07-16,61.8
2014-07-17,61.49
2014-07-18,60.93
2014-07-21,58.75
2014-07-22,60.1
2014-07-23,61.43
2014-07-24,59.8
2014-07-25,58.7
2014-07-28,55.5
2014-07-29,56.49
2014-07-30,58
2014-07-31,56.94
2014-08-01,57.48
2014-08-04,58.56
2014-08-05,59.2
2014-08-06,56.83
2014-08-07,56.01
2014-08-08,58.5
2014-08-11,59
2014-08-12,58.65
2014-08-13,60.71
2014-08-14,59.8
2014-08-15,60.6
2014-08-18,61.8
2014-08-19,63.8
2014-08-20,64
2014-08-21,64.99
2014-08-22,64.25
2014-08-25,64.94
2014-08-26,66.2
2014-08-27,66.5
2014-08-28,64.7
2014-08-29,63.5
2014-09-01,60.55
2014-09-02,60.82
2014-09-03,63.4
2014-09-04,64.3
2014-09-05,64.22
2014-09-08,63.85
2014-09-09,63.12
2014-09-10,63.3
2014-09-11,62.17
2014-09-12,61.95
2014-09-15,61.17
2014-09-16,61.9
2014-09-17,60
2014-09-18,61
2014-09-19,59.58
2014-09-22,60.3
2014-09-23,60.1
2014-09-24,60
2014-09-25,59.86
2014-09-26,59.98
2014-09-29,58.49
2014-09-30,58.5
2014-10-01,58.6
2014-10-02,58.52
2014-10-03,59
2014-10-06,61.2
2014-10-07,60.44
2014-10-08,59.94
2014-10-09,59.8
2014-10-10,58.7
2014-10-13,60
2014-10-14,59.55
2014-10-15,59
2014-10-16,58.99
2014-10-17,58.9
2014-10-20,57.5
2014-10-21,57.95
2014-10-22,58
2014-10-23,58.1
2014-10-24,58.2
2014-10-27,58
2014-10-28,58.13
2014-10-29,58
2014-10-30,57.89
2014-10-31,58
2014-11-03,57.67
2014-11-05,58
2014-11-06,58.99
2014-11-07,59.28
2014-11-10,60
2014-11-11,59.29
2014-11-12,59.09
2014-11-13,58.5
2014-11-14,57.6
2014-11-17,57.2
2014-11-18,57.9
2014-11-19,60.5
2014-11-20,62.07
2014-11-21,63.5
2014-11-24,62.89
2014-11-25,61.6
2014-11-26,60.34
2014-11-27,59
2014-11-28,59.83
2014-12-01,60.01
2014-12-02,59.08
2014-12-03,60.78
2014-12-04,62
2014-12-05,62.37
2014-12-08,60.15
2014-12-09,60.05
2014-12-10,61.3
2014-12-11,60.95
2014-12-12,61.97
2014-12-15,61.1
2014-12-16,60
2014-12-17,61.91
2014-12-18,61.5
2014-12-19,62
2014-12-22,62.22
2014-12-23,61.84
2014-12-24,61.88
2014-12-25,61.16
2014-12-26,61.95
2014-12-29,61
2014-12-30,59.06
2015-01-05,60.4
2015-01-06,61.9
2015-01-08,61.9
2015-01-09,60.14
2015-01-12,59.59
2015-01-13,58.51
2015-01-14,61.22
2015-01-15,61.8
2015-01-16,62.5
2015-01-19,63.45
2015-01-20,62
2015-01-21,64.5
2015-01-22,68
2015-01-23,69.11
2015-01-26,66.6
2015-01-27,67.84
2015-01-28,68
2015-01-29,69.3
2015-01-30,70
2015-02-02,69.66
2015-02-03,73.5
2015-02-04,73.3
2015-02-05,72
2015-02-06,74.8
2015-02-09,74.2
2015-02-10,71.26
2015-02-11,70.5
2015-02-12,72.5
2015-02-13,72.5
2015-02-16,74.88
2015-02-17,75.45
2015-02-18,78.4
2015-02-19,76.75
2015-02-20,75.69
2015-02-24,76.5
2015-02-25,76.6
2015-02-26,77.45
2015-02-27,76.9
2015-03-02,76.01
2015-03-03,74.88
2015-03-04,70.67
2015-03-05,70
2015-03-06,69
2015-03-10,65
2015-03-11,67.9
2015-03-12,69.2
2015-03-13,67.3
2015-03-16,67.26
2015-03-17,66.5
2015-03-18,67.7
2015-03-19,66.99
2015-03-20,65.8
2015-03-23,65.98
2015-03-24,69
2015-03-25,69.25
2015-03-26,69.43
2015-03-27,66.65
2015-03-30,68.99
2015-03-31,69
2015-04-01,70.26
2015-04-02,75.49
2015-04-03,74.75
2015-04-06,76.49
2015-04-07,77.01
2015-04-08,75.2
2015-04-09,72.3
2015-04-10,73.5
2015-04-13,74.5
2015-04-14,73.4
2015-04-15,73.3
2015-04-16,76
2015-04-17,73.6
2015-04-20,75.59
2015-04-21,76.1
2015-04-22,75.8
2015-04-23,74.01
2015-04-24,75.2
2015-04-27,76.65
2015-04-28,74.35
2015-04-29,74.03
2015-04-30,77
2015-05-05,79.4
2015-05-06,78.8
2015-05-07,76
2015-05-08,73.49
2015-05-12,74.5
2015-05-13,73.5
2015-05-14,71.4
2015-05-15,72.25
2015-05-18,73.54
2015-05-19,72.63
2015-05-20,73.18
2015-05-21,74.82
2015-05-22,75.15
2015-05-25,75.47
2015-05-26,74.3
2015-05-27,72.89
2015-05-28,71.23
2015-05-29,72
2015-06-01,72.23
2015-06-02,73.5
2015-06-03,71.15
2015-06-04,70.55
2015-06-05,72.8
2015-06-08,72.2
2015-06-09,72.25
2015-06-10,71.5
2015-06-11,71.65
2015-06-15,71.55
2015-06-16,71
2015-06-17,72.77
2015-06-18,71.31
2015-06-19,71.15
2015-06-22,70.64
2015-06-23,69.21
2015-06-24,67.85
2015-06-25,68.21
2015-06-26,69.59
2015-06-29,69.38
2015-06-30,69.82
2015-07-01,68.8
2015-07-02,69.57
2015-07-03,68.53
2015-07-06,66.99
2015-07-07,66.49
2015-07-08,66.59
2015-07-09,67.01
2015-07-10,66.1
2015-07-13,67.57
2015-07-14,70.24
2015-07-15,72.23
2015-07-16,71.98
2015-07-17,71.89
2015-07-20,70.2
2015-07-21,70.45
2015-07-22,70
2015-07-23,68.95
2015-07-24,68.11
2015-07-27,67.75
2015-07-28,69.91
2015-07-29,69.7
2015-07-30,70.59
2015-07-31,70.5
2015-08-03,70.5
2015-08-04,70.5
2015-08-05,72.2
2015-08-06,73.31
2015-08-07,74.4
2015-08-10,73.6
2015-08-11,73.6
2015-08-12,74
2015-08-13,75.2
2015-08-14,76.18
2015-08-17,76
2015-08-18,75.2
2015-08-19,74.3
2015-08-20,74.52
2015-08-21,71.8
2015-08-24,69.5
2015-08-25,71.4
2015-08-26,71.1
2015-08-27,73.42
2015-08-28,74
2015-08-31,74.31
