date,close
2013-03-25,73.35
2013-03-26,72.3
2013-03-27,72.28
2013-03-28,75.12
2013-03-29,75.11
2013-04-01,75.04
2013-04-02,74.62
2013-04-03,74.64
2013-04-04,74.87
2013-04-05,73.57
2013-04-08,72.7
2013-04-09,73.58
2013-04-10,71.42
2013-04-11,69.32
2013-04-12,69.47
2013-04-15,67.77
2013-04-16,67.59
2013-04-17,67.67
2013-04-18,68.39
2013-04-19,70.3
2013-04-22,69.65
2013-04-23,70.05
2013-04-24,70.53
2013-04-25,70.93
2013-04-26,70.32
2013-04-29,69.87
2013-04-30,72.21
2013-05-02,72.24
2013-05-03,72.77
2013-05-06,73.35
2013-05-07,74.73
2013-05-08,75.83
2013-05-10,75.39
2013-05-13,75.81
2013-05-14,75.57
2013-05-15,75.27
2013-05-16,75.16
2013-05-17,75.91
2013-05-20,77.2
2013-05-21,78.13
2013-05-22,79.65
2013-05-23,76.5
2013-05-24,75.54
2013-05-27,75.49
2013-05-28,77.49
2013-05-29,76.08
2013-05-30,77.1
2013-05-31,72.2
2013-06-03,72.05
2013-06-04,71.76
2013-06-05,70.7
2013-06-06,72.12
2013-06-07,73.41
2013-06-10,73.27
2013-06-11,70.59
2013-06-13,69
2013-06-14,70.23
2013-06-17,71.61
2013-06-18,72.39
2013-06-19,71.47
2013-06-20,69.19
2013-06-21,69
2013-06-24,67.76
2013-06-25,68.07
2013-06-26,69.86
2013-06-27,69.5
2013-06-28,67.36
2013-07-01,71.26
2013-07-02,70.82
2013-07-03,69.57
2013-07-04,70.81
2013-07-05,70.22
2013-07-08,70.41
2013-07-09,69.75
2013-07-10,69.64
2013-07-11,72.9
2013-07-12,74.62
2013-07-15,76.8
2013-07-16,76.36
2013-07-17,77.5
2013-07-18,75.41
2013-07-19,76.1
2013-07-22,75
2013-07-23,74.4
2013-07-24,74.08
2013-07-25,73.45
2013-07-26,72.94
2013-07-29,73.09
2013-07-30,74.14
2013-07-31,74.76
2013-08-01,74.94
2013-08-02,75.45
2013-08-05,75.35
2013-08-06,73.48
2013-08-07,72.51
2013-08-08,72.49
2013-08-09,73.16
2013-08-12,73.22
2013-08-13,74.35
2013-08-14,74.85
2013-08-15,72.62
2013-08-16,72.12
2013-08-19,72.9
2013-08-20,71.75
2013-08-21,71.67
2013-08-22,72.59
2013-08-23,72.41
2013-08-26,72.07
2013-08-27,70.88
2013-08-28,69.82
2013-08-29,70.17
2013-08-30,70.2
2013-09-02,70
2013-09-03,70.4
2013-09-04,70.29
2013-09-05,71.39
2013-09-06,70.81
2013-09-09,73.51
2013-09-10,75.68
2013-09-11,74.88
2013-09-12,74.71
2013-09-13,74.44
2013-09-16,76.94
2013-09-17,77.32
2013-09-18,76.37
2013-09-19,78
2013-09-20,77.79
2013-09-23,76.8
2013-09-24,76.71
2013-09-25,77.9
